Date,Title,Link,Domain,Tag,whitelisted,has_kw,is_bbva,is_san,Sentiment_score,rank
2022-01-17,"Entre 2021 y 2022 , esperamos distribuir a nuestros accionistas más de 7 . 000 millones de euros",https://www.bbva.com/es/entre-2021-y-2022-esperamos-distribuir-a-nuestros-accionistas-mas-de-7-000-millones-de-euros/,bbva.com,BBVA,True,False,True,False,0.2607207372784614,1.7782162211835384
2022-04-25,BBVA eleva el precio de la opa de su filial en Turquía,https://www.bbva.com/es/bbva-eleva-el-precio-de-la-opa-de-su-filial-en-turquia/,bbva.com,BBVA,True,True,True,False,-0.3195156939327717,2.7958547081798315
2022-04-29,BBVA mejora las perspectivas de negocio en España y México para 2022,https://www.bbva.com/es/bbva-mejora-las-perspectivas-de-negocio-en-espana-y-mexico-para-2022/,bbva.com,BBVA,True,False,True,False,0.2178391590714454,1.7653517477214336
2022-07-30,BBVA obtuvo un beneficio atribuido de €3 . 001 millones en el primer semestre de 2022,https://www.bbva.com/es/resultados-2t22/,bbva.com,BBVA,True,True,True,False,0.1639005653560161,2.749170169606805
2022-10-28,BBVA ganó €4 . 842 millones entre enero y septiembre de 2022,https://www.bbva.com/es/resultados-3t22/,bbva.com,BBVA,True,False,True,False,0.0173951014876365,1.705218530446291
2022-10-31,BBVA premia un juego en el metaverso que ayuda a los  centennial a adquirir conocimientos financieros,https://www.bbva.com/es/bbva-premia-un-juego-en-el-metaverso-que-ayuda-a-los-centennials-a-adquirir-conocimientos-financieros/,bbva.com,BBVA,True,False,True,False,0.6924271937459707,1.9077281581237917
2022-11-10,Dream Team  logra superar el reto peruano del Hackathon BBVA 2022,https://www.bbva.com/es/pe/dream-team-logra-superar-el-reto-peruano-del-hackathon-bbva-2022/,bbva.com,BBVA,True,False,True,False,0.5065669007599354,1.8519700702279809
2022-11-14,Protégete de los ciberdelincuentes en 10 sencillos pasos,https://www.bbva.com/es/podcast-protegete-de-los-ciberdelincuentes-en-10-sencillos-pasos/,bbva.com,BBVA,True,False,True,False,0.0118991881608963,1.7035697564482688
2023-04-25,Programa de Beneficios | BBVA Uruguay,https://www.bbva.com.uy/personas/productos/tarjetas/programa-de-beneficios.html,bbva.com.uy,BBVA,False,True,True,False,0.1547927856445312,1.7464378356933594
