Date,Ticker,Model,Forecast_scaled,Forecast_real
2025-10-31,BBVA,GRU,0.8728665,0.8728665
2025-11-01,BBVA,GRU,0.87518394,0.87518394
2025-11-02,BBVA,GRU,0.8752972,0.8752972
2025-11-03,BBVA,GRU,0.8753182,0.8753182
2025-11-04,BBVA,GRU,0.875242,0.875242
2025-10-31,BBVA,LSTM,0.8859119,0.8859119
2025-11-01,BBVA,LSTM,0.8846345,0.8846345
2025-11-02,BBVA,LSTM,0.8863407,0.8863407
2025-11-03,BBVA,LSTM,0.8888345,0.8888345
2025-11-04,BBVA,LSTM,0.89114195,0.89114195
2025-10-31,BBVA,RNN,0.87758815,0.87758815
2025-11-01,BBVA,RNN,0.8772622,0.8772622
2025-11-02,BBVA,RNN,0.8730079,0.8730079
2025-11-03,BBVA,RNN,0.8707121,0.8707121
2025-11-04,BBVA,RNN,0.8759332,0.8759332
2025-10-31,SAN,GRU,0.6346227,0.6346227
2025-11-01,SAN,GRU,0.6385102,0.6385102
2025-11-02,SAN,GRU,0.63966453,0.63966453
2025-11-03,SAN,GRU,0.63923115,0.63923115
2025-11-04,SAN,GRU,0.6385088,0.6385088
2025-10-31,SAN,LSTM,0.6359485,0.6359485
2025-11-01,SAN,LSTM,0.63766295,0.63766295
2025-11-02,SAN,LSTM,0.6387351,0.6387351
2025-11-03,SAN,LSTM,0.63943887,0.63943887
2025-11-04,SAN,LSTM,0.6398273,0.6398273
2025-10-31,SAN,RNN,0.5876149,0.5876149
2025-11-01,SAN,RNN,0.529264,0.529264
2025-11-02,SAN,RNN,0.59811497,0.59811497
2025-11-03,SAN,RNN,0.60044944,0.60044944
2025-11-04,SAN,RNN,0.63961494,0.63961494
