window,units,batch,lr,Ticker,Model,best_epoch,Test_MSE,Test_RMSE,Test_MAE,loss_png,pred_png
10,128,64,0.001,BBVA,GRU,26,9.356564260087907e-05,0.009672933505451129,0.006689915433526039,..\results\model_reports\BBVA\GRU\GRU_Top2_w10_u128_b64_lr0.001_loss.png,..\results\model_reports\BBVA\GRU\GRU_Top2_w10_u128_b64_lr0.001_pred.png
10,64,64,0.0005,BBVA,GRU,66,9.528650116408244e-05,0.009761480480136323,0.006708160508424044,..\results\model_reports\BBVA\GRU\GRU_Top1_w10_u64_b64_lr0.0005_loss.png,..\results\model_reports\BBVA\GRU\GRU_Top1_w10_u64_b64_lr0.0005_pred.png
10,32,32,0.0005,BBVA,GRU,23,0.0001330121885985136,0.011533091025328535,0.008068632334470749,..\results\model_reports\BBVA\GRU\GRU_Top3_w10_u32_b32_lr0.0005_loss.png,..\results\model_reports\BBVA\GRU\GRU_Top3_w10_u32_b32_lr0.0005_pred.png
30,128,32,0.0005,BBVA,LSTM,76,0.00012082315515726805,0.010991958658822732,0.007709254510700703,..\results\model_reports\BBVA\LSTM\LSTM_Top1_w30_u128_b32_lr0.0005_loss.png,..\results\model_reports\BBVA\LSTM\LSTM_Top1_w30_u128_b32_lr0.0005_pred.png
20,128,32,0.0005,BBVA,LSTM,6,0.0002062145504169166,0.014360172367242553,0.01030455157160759,..\results\model_reports\BBVA\LSTM\LSTM_Top2_w20_u128_b32_lr0.0005_loss.png,..\results\model_reports\BBVA\LSTM\LSTM_Top2_w20_u128_b32_lr0.0005_pred.png
30,64,32,0.0005,BBVA,LSTM,1,0.0030101086013019085,0.05486445662997045,0.038464244455099106,..\results\model_reports\BBVA\LSTM\LSTM_Top3_w30_u64_b32_lr0.0005_loss.png,..\results\model_reports\BBVA\LSTM\LSTM_Top3_w30_u64_b32_lr0.0005_pred.png
30,64,32,0.001,BBVA,RNN,40,0.00015783622802700847,0.012563288901677318,0.008914087899029255,..\results\model_reports\BBVA\RNN\RNN_Top1_w30_u64_b32_lr0.001_loss.png,..\results\model_reports\BBVA\RNN\RNN_Top1_w30_u64_b32_lr0.001_pred.png
30,32,64,0.001,BBVA,RNN,32,0.00017107406165450811,0.013079528342203633,0.009676815941929817,..\results\model_reports\BBVA\RNN\RNN_Top2_w30_u32_b64_lr0.001_loss.png,..\results\model_reports\BBVA\RNN\RNN_Top2_w30_u32_b64_lr0.001_pred.png
30,64,64,0.001,BBVA,RNN,35,0.0002391909947618842,0.015465800812175367,0.011046579107642174,..\results\model_reports\BBVA\RNN\RNN_Top3_w30_u64_b64_lr0.001_loss.png,..\results\model_reports\BBVA\RNN\RNN_Top3_w30_u64_b64_lr0.001_pred.png
30,128,32,0.001,SAN,GRU,12,6.464257603511214e-05,0.008040060698471881,0.005782746709883213,..\results\model_reports\SAN\GRU\GRU_Top3_w30_u128_b32_lr0.001_loss.png,..\results\model_reports\SAN\GRU\GRU_Top3_w30_u128_b32_lr0.001_pred.png
30,64,64,0.0005,SAN,GRU,14,6.465410115197301e-05,0.008040777397240456,0.0060414280742406845,..\results\model_reports\SAN\GRU\GRU_Top1_w30_u64_b64_lr0.0005_loss.png,..\results\model_reports\SAN\GRU\GRU_Top1_w30_u64_b64_lr0.0005_pred.png
10,32,32,0.0005,SAN,GRU,120,6.61218145978637e-05,0.008131532118725457,0.005933573003858328,..\results\model_reports\SAN\GRU\GRU_Top2_w10_u32_b32_lr0.0005_loss.png,..\results\model_reports\SAN\GRU\GRU_Top2_w10_u32_b32_lr0.0005_pred.png
30,128,32,0.0005,SAN,LSTM,57,6.196937465574592e-05,0.007872062922496613,0.005636413116008043,..\results\model_reports\SAN\LSTM\LSTM_Top3_w30_u128_b32_lr0.0005_loss.png,..\results\model_reports\SAN\LSTM\LSTM_Top3_w30_u128_b32_lr0.0005_pred.png
20,128,32,0.0005,SAN,LSTM,44,7.877258030930534e-05,0.008875391839761517,0.007015883922576904,..\results\model_reports\SAN\LSTM\LSTM_Top2_w20_u128_b32_lr0.0005_loss.png,..\results\model_reports\SAN\LSTM\LSTM_Top2_w20_u128_b32_lr0.0005_pred.png
10,128,64,0.001,SAN,LSTM,2,0.00011035508214263245,0.010505002719782249,0.007528090849518776,..\results\model_reports\SAN\LSTM\LSTM_Top1_w10_u128_b64_lr0.001_loss.png,..\results\model_reports\SAN\LSTM\LSTM_Top1_w10_u128_b64_lr0.001_pred.png
10,64,32,0.001,SAN,RNN,40,8.686495129950345e-05,0.009320136871285929,0.0066718547604978085,..\results\model_reports\SAN\RNN\RNN_Top1_w10_u64_b32_lr0.001_loss.png,..\results\model_reports\SAN\RNN\RNN_Top1_w10_u64_b32_lr0.001_pred.png
10,64,64,0.001,SAN,RNN,40,0.00012980058090761304,0.011393005788974788,0.007758192252367735,..\results\model_reports\SAN\RNN\RNN_Top2_w10_u64_b64_lr0.001_loss.png,..\results\model_reports\SAN\RNN\RNN_Top2_w10_u64_b64_lr0.001_pred.png
10,32,32,0.001,SAN,RNN,21,0.0001609576866030693,0.012686910049459219,0.010043244808912277,..\results\model_reports\SAN\RNN\RNN_Top3_w10_u32_b32_lr0.001_loss.png,..\results\model_reports\SAN\RNN\RNN_Top3_w10_u32_b32_lr0.001_pred.png
